season_year,team_league_id,team_league_name,team_id,team_name,player_id,player_name,g,gs,pa,ab,r,h,h1b,h2b,h3b,hr,tb,rbi,bb,hbp,ibb,sh,sf,so,gidp,sb,cs,e,pb
2021,1,セ・リーグ,1,巨人,12000,中島　宏之,81,41,195,181,11,49,33,10,0,6,77,26,9,3,1,1,1,35,9,0,0,0,0
2021,1,セ・リーグ,1,巨人,12179,大竹　寛,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,セ・リーグ,1,巨人,500037,亀井　善行,92,38,206,186,15,40,24,12,1,3,63,17,13,2,1,2,3,47,3,1,1,0,0
2021,1,セ・リーグ,1,巨人,600008,山口　俊,15,15,23,22,0,0,0,0,0,0,0,0,1,0,0,0,0,14,3,0,0,3,0
2021,1,セ・リーグ,1,巨人,600026,炭谷　銀仁朗,44,18,54,48,4,9,8,0,0,1,12,7,4,0,1,1,1,17,0,0,0,0,1
2021,1,セ・リーグ,1,巨人,600037,陽　岱鋼,7,1,7,7,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2021,1,セ・リーグ,1,巨人,700003,坂本　勇人,117,116,487,424,53,115,70,26,0,19,198,46,58,1,4,2,2,90,4,2,3,4,0
2021,1,セ・リーグ,1,巨人,700027,梶谷　隆幸,61,60,246,227,31,64,49,10,1,4,88,23,15,3,0,0,1,40,2,11,8,1,0
2021,1,セ・リーグ,1,巨人,800043,丸　佳浩,118,108,457,392,58,104,60,21,0,23,194,55,63,0,0,0,2,120,5,5,3,0,0
2021,1,セ・リーグ,1,巨人,800054,中田　翔,34,27,106,91,6,14,7,4,0,3,27,7,14,1,0,0,0,29,3,0,0,0,0
2021,1,セ・リーグ,1,巨人,900055,野上　亮磨,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2021,1,セ・リーグ,1,巨人,900093,立岡　宗一郎,47,3,47,44,2,9,9,0,0,0,9,1,3,0,0,0,0,7,0,0,0,1,0
2021,1,セ・リーグ,1,巨人,1100038,今村　信貴,17,10,16,15,1,1,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0
